,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
486,tynda,55.15,124.74,75.29,36.0,12.0,4.45
487,quelimane,-17.88,36.89,66.2,93.0,75.0,6.93
489,vanderhoof,54.02,-124.02,60.88,40.0,83.0,7.18
490,palmer,61.6,-149.11,68.83,40.0,40.0,8.05
491,bilaspur,22.08,82.15,90.05,50.0,29.0,11.52
492,qaqortoq,60.72,-46.03,50.0,66.0,0.0,6.93
493,cowra,-33.84,148.69,49.73,48.0,0.0,8.93
495,ampanihy,-24.69,44.75,64.85,79.0,0.0,13.53
496,kandrian,-6.21,149.55,81.77,79.0,93.0,9.01
497,ketchikan,55.34,-131.65,65.66,63.0,40.0,16.11
498,susanville,40.42,-120.65,73.63,14.0,1.0,16.11
499,adre,13.47,22.2,81.05,39.0,0.0,8.77
500,fort nelson,58.81,-122.69,59.0,58.0,75.0,5.82
501,san raymundo,14.76,-90.6,69.8,77.0,75.0,4.7
502,bacolod,10.68,122.95,85.91,67.0,38.0,5.88
503,elizabeth city,36.3,-76.22,71.56,88.0,1.0,9.75
505,tolaga bay,-38.37,178.3,55.31,91.0,100.0,2.3
506,atambua,-9.11,124.89,78.53,66.0,35.0,7.65
507,matara,-13.74,-72.9,40.37,96.0,15.0,3.78
508,tocopilla,-22.09,-70.2,59.99,77.0,60.0,1.74
509,iquitos,-3.75,-73.25,78.8,88.0,75.0,2.24
510,chico,39.73,-121.84,87.76,4.0,5.0,17.22
512,hobyo,5.35,48.53,77.09,77.0,9.0,20.6
513,yulara,-25.24,130.99,53.6,37.0,0.0,13.87
514,oga,8.18,5.65,70.79,97.0,100.0,2.24
515,monte alegre,-2.0,-54.07,73.85,95.0,17.0,2.91
516,nanortalik,60.14,-45.24,36.59,94.0,93.0,1.16
517,tonota,-21.44,27.46,46.67,92.0,0.0,7.85
518,gubkinskiy,64.43,76.5,54.41,70.0,100.0,17.18
519,morehead,38.18,-83.43,68.22,73.0,90.0,5.82
520,rocha,-34.48,-54.34,46.84,93.0,47.0,3.18
521,geraldton,49.72,-86.95,66.2,39.0,20.0,8.05
522,whitianga,-36.83,175.7,62.01,90.0,63.0,3.0
523,puerto ayacucho,5.66,-67.63,77.0,94.0,75.0,2.8
524,bambanglipuro,-7.95,110.28,75.47,79.0,94.0,7.81
525,udachnyy,66.42,112.4,66.2,52.0,75.0,6.71
526,mabaruma,8.2,-59.78,72.41,97.0,100.0,2.17
527,viedma,-40.81,-62.99,48.47,68.0,67.0,14.52
530,kitimat,54.02,-128.69,69.8,40.0,75.0,5.82
531,bestobe,52.5,73.1,69.89,40.0,0.0,6.4
532,codrington,-28.95,153.24,65.71,59.0,0.0,9.17
534,orange,-33.28,149.1,46.0,65.0,0.0,5.99
535,trelew,-43.25,-65.31,48.46,60.0,19.0,18.37
536,bayji,34.93,43.49,81.95,40.0,0.0,12.1
537,clyde river,70.47,-68.59,32.0,94.0,90.0,5.82
538,mayya,61.74,130.28,69.8,60.0,0.0,4.47
539,galesong,-5.32,119.37,80.6,78.0,20.0,3.36
540,coruripe,-10.12,-36.18,69.35,95.0,1.0,3.89
541,fallon,46.84,-105.12,62.6,59.0,1.0,10.29
542,aubenas,44.62,4.39,64.27,82.0,0.0,12.75
543,najran,17.54,44.22,86.0,20.0,5.0,3.83
544,olinda,-2.03,-79.75,79.0,77.0,90.0,4.0
545,olean,42.08,-78.43,63.0,100.0,90.0,9.17
546,orizona,-17.03,-48.3,62.15,74.0,2.0,3.85
547,jiujiang,29.73,115.99,80.15,91.0,100.0,8.03
548,dukhovshchina,55.19,32.41,63.77,87.0,96.0,7.27
549,benxi,41.29,123.76,75.2,44.0,0.0,15.66
550,pangnirtung,66.15,-65.72,49.55,42.0,71.0,4.61
551,lompoc,34.64,-120.46,61.68,87.0,90.0,10.29
552,pasighat,28.06,95.33,81.77,77.0,52.0,2.37
553,jaegerspris,55.86,11.97,58.05,100.0,98.0,1.12
554,atar,20.52,-13.05,85.37,18.0,0.0,12.06
555,ekhabi,53.51,142.97,51.71,65.0,3.0,11.45
557,mezen,65.85,44.24,46.67,71.0,69.0,5.32
558,chiman,32.55,73.81,75.2,69.0,20.0,5.17
560,nardaran,40.56,50.01,73.4,64.0,0.0,6.93
561,leh,34.16,77.58,32.63,69.0,100.0,1.72
562,vila velha,-3.71,-38.6,82.6,78.0,20.0,10.29
563,college,64.86,-147.8,79.75,28.0,20.0,2.48
564,geghamasar,40.31,45.68,54.05,80.0,96.0,2.06
565,anadyr,64.73,177.51,64.18,55.0,20.0,4.47
566,ulagan,50.63,87.96,61.25,44.0,0.0,2.51
567,lusambo,-4.97,23.44,66.11,49.0,73.0,2.48
568,gritsovskiy,54.14,38.16,63.95,78.0,0.0,4.9
569,fonte boa,-2.51,-66.09,76.73,86.0,44.0,4.05
571,koumac,-20.56,164.28,73.13,73.0,100.0,7.67
572,kenai,60.55,-151.26,54.91,81.0,90.0,17.22
573,shagonar,51.54,92.92,66.83,55.0,38.0,0.56
574,allapalli,19.43,80.06,82.31,74.0,100.0,3.87
575,north battleford,52.78,-108.3,54.5,87.0,90.0,11.41
576,goulburn,-34.75,149.72,44.31,51.0,0.0,7.0
577,terrace bay,48.78,-87.1,51.89,70.0,3.0,1.99
578,birao,10.3,22.78,78.17,73.0,100.0,6.22
579,half moon bay,37.46,-122.43,64.45,82.0,40.0,8.05
580,buchanan,5.88,-10.05,79.79,82.0,21.0,11.92
581,tahlequah,35.92,-94.97,83.52,58.0,1.0,3.36
583,mackay,53.65,-115.58,49.08,87.0,90.0,13.87
584,minab,27.15,57.07,89.6,75.0,74.0,1.12
585,verkhnevilyuysk,63.45,120.31,69.35,67.0,100.0,2.28
586,kaeo,-35.1,173.78,62.01,96.0,77.0,5.55
587,keuruu,62.26,24.71,61.21,72.0,0.0,5.82
588,acapulco,16.86,-99.88,86.0,79.0,75.0,9.17
590,tautira,-17.73,-149.15,82.17,69.0,75.0,14.99
591,bodden town,19.28,-81.25,84.97,84.0,20.0,11.41
592,muisne,0.61,-80.02,77.45,87.0,54.0,14.09
594,okato,-39.19,173.88,58.51,54.0,9.0,1.99
595,chipaque,4.44,-74.04,65.82,71.0,75.0,5.82
596,arco,45.92,10.89,64.08,60.0,0.0,3.36
597,noshiro,40.21,140.05,76.19,69.0,75.0,3.36
598,bumba,2.18,22.47,72.05,90.0,57.0,0.67
599,zigong,29.34,104.78,85.01,66.0,70.0,3.96
600,simpang,4.82,100.71,80.37,83.0,75.0,6.93
602,inzer,54.22,57.56,61.07,93.0,26.0,2.28
603,dakar,14.69,-17.45,75.2,88.0,29.0,6.93
604,pangody,65.85,74.49,55.49,60.0,91.0,11.9
605,santa barbara,34.42,-119.7,64.98,60.0,1.0,9.17
606,turkmenabat,39.09,63.58,73.4,38.0,0.0,2.24
607,capitao poco,-1.75,-47.06,71.69,97.0,53.0,3.06
608,alta gracia,-31.66,-64.43,56.79,54.0,0.0,17.22
609,mokobeng,-23.0,27.67,45.23,91.0,0.0,2.01
610,vysokogornyy,50.1,139.13,74.21,49.0,54.0,0.49
611,huilong,28.89,110.18,74.39,99.0,100.0,1.43
612,nome,30.04,-94.42,85.19,79.0,40.0,6.93
613,burnie,-41.05,145.91,58.01,47.0,0.0,5.01
614,portland,45.52,-122.67,64.0,42.0,75.0,12.75
615,diffa,13.32,12.61,88.79,39.0,40.0,8.19
616,pasni,25.26,63.48,84.83,70.0,70.0,4.83
617,puerto escondido,15.86,-97.07,86.0,79.0,75.0,3.36
618,pavlivka,48.13,39.54,67.01,71.0,0.0,5.7
619,oyonnax,46.26,5.66,58.98,93.0,0.0,2.24
620,krasnoufimsk,56.6,57.77,57.83,85.0,1.0,11.16
621,port-cartier,50.03,-66.88,53.6,87.0,75.0,5.82
622,beira,43.2,-8.36,55.27,93.0,96.0,2.24
623,trinidad,-33.52,-56.9,46.31,92.0,5.0,5.61
624,trenggalek,-8.05,111.71,77.99,62.0,8.0,4.72
625,kosikha,53.36,84.58,59.0,87.0,0.0,6.71
626,bama,24.14,107.25,82.67,80.0,72.0,9.78
628,parana,-7.52,-72.89,77.0,94.0,0.0,2.15
629,belaya gora,68.54,146.19,78.53,25.0,100.0,9.84
630,thunder bay,48.41,-89.26,66.74,43.0,20.0,2.24
632,ndjole,-0.18,10.76,72.41,95.0,100.0,3.06
633,teacapan,22.54,-105.74,81.41,70.0,14.0,7.65
634,lannion,48.73,-3.46,50.22,100.0,0.0,3.36
635,conceicao do araguaia,-8.26,-49.26,73.67,71.0,38.0,1.39
636,taltal,-25.41,-70.49,50.45,87.0,30.0,1.14
637,morant bay,17.88,-76.41,86.0,62.0,20.0,29.97
638,coronel vivida,-25.98,-52.57,55.48,78.0,0.0,2.93
639,murgab,37.5,61.97,77.0,47.0,0.0,4.7
640,yarim,14.3,44.38,74.39,45.0,99.0,5.41
641,bhainsa,26.95,76.9,94.37,40.0,0.0,9.64
642,haines junction,60.75,-137.51,65.39,32.0,52.0,2.35
643,roma,41.89,12.48,65.61,49.0,0.0,5.82
644,borskoye,53.03,51.7,66.83,80.0,32.0,5.5
645,jucas,-6.53,-39.53,66.11,78.0,0.0,3.98
646,srednekolymsk,67.46,153.71,76.19,27.0,1.0,10.69
647,kushima,31.5,131.29,76.91,69.0,75.0,2.24
648,cikupa,-7.65,108.11,77.27,50.0,77.0,4.52
